duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
,1,TV Show,License to Drill: Louisiana,10-02-2019,2014,TV-PG,"A crew of oil riggers work an off-season job and swap the blistering cold of their native Canada for sunny, Southern comfort in the Big Easy.",81025317
105,,Movie,God's Own Country,05-01-2018,2017,TV-MA,"In Yorkshire, a withdrawn gay farmer begins a torrid affair with a Romanian migrant worker who shows him the depths of his capacity for affection.",80170875
116,,Movie,Kaviyude Osyath,07-01-2018,2017,TV-PG,"When a late poet leaves behind his property to a young man, the man's brother suspects the poet may have been more than just a family friend.",80994573
88,,Movie,Bon Bini Holland,09-01-2016,2015,TV-14,"On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.",80106137
94,,Movie,Total Frat Movie,12/19/2016,2016,NR,"A disbanded fraternity tries to get their act together by finding new members, but beer bongs, bad grades and a demented dean stand in their way.",80108691
,1,TV Show,Behind Enemy Lines,8/15/2016,2001,TV-14,"After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics.",80114588
116,,Movie,Hajwala 2: Mysterious Mission,03-08-2019,2018,TV-14,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.",81074140
,1,TV Show,Bangkok Love Stories: Innocence,7/31/2019,2018,TV-14,"From a teenage parkour enthusiast to a bawdy restaurateur, an eclectic group of characters find romance in Bangkok's glittering Silom district.",80236408
135,,Movie,Jindua,12-01-2019,2017,TV-14,An Indian man in Canada marries a local citizen to legalize his immigration status. The only problem? His girlfriend isn't thrilled about his new wife.,80182479
,1,TV Show,MegaTruckers,07-12-2019,2012,TV-PG,"This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia.",80224184
127,,Movie,Premachi Goshta,2/15/2018,2013,TV-14,"A man and a woman struggling to keep their respective marriages afloat run into each other at a marriage counselor's office, with unexpected results.",80201609
,3,TV Show,Grand Hotel,11-01-2017,2013,TV-PG,"To learn the truth about his sister's mysterious disappearance, a young man infiltrates a hotel in the guise of a footman and begins an investigation.",70308105
135,,Movie,The Zoya Factor,11/30/2019,2019,TV-14,"A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",81213894
52,,Movie,The Jack King Affair,01-02-2018,2015,TV-14,This documentary explores a bold World War II operation in which an MI5 agent infiltrated a fascist network to intercept stolen documents.,80208083
110,,Movie,Samantaral,9/15/2018,2017,TV-MA,"On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years.",81018238
88,,Movie,"Yours, Mine and Ours",11/20/2019,2005,PG,"When a father of eight and a mother of 10 prepare to wed, the couple's children attempt to sabotage the union in this remake of a 1968 comedy.",70039187
132,,Movie,Story of an Egg,10/15/2017,2017,TV-PG,"When an astrologer gives him one year to find a mate or face being alone forever, a professor sets out to find a bride despite serious obstacles.",80206827
114,,Movie,The Angel,9/14/2018,2018,TV-MA,"As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",80188120
,1,TV Show,Demon's Path,12/22/2018,2018,TV-MA,"To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",81039096
,1,TV Show,Ask the Doctor,10/19/2018,2017,TV-PG,"From allergies to diet to sleep, three friendly doctors share expert advice, bust medical myths and test the latest treatments.",81003997
87,,Movie,Lizzie Borden Took an Ax,7/25/2016,2014,TV-14,"This made-for-TV drama chronicles the scandal and enduring mystery surrounding Lizzie Borden, who was tried in 1892 for axing her parents to death.",70298116
86,,Movie,Searching for Sugar Man,12-01-2019,2012,PG-13,"Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol.",70229213
,1,TV Show,Aussie Gold Hunters,08-01-2017,2016,TV-MA,Three teams of gold hunters battle all manner of challenges while pursuing their dreams in the Australian Outback.,80185803
125,,Movie,Cake,5/15/2019,2018,TV-14,"When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",81110389
65,,Movie,Samudri Lootere,6/18/2019,2018,TV-Y7-FV,The king’s ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?,81092780
,4,TV Show,Men on a Mission,04-09-2019,2019,TV-14,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",80176842
,1,TV Show,When They See Us,5/31/2019,2019,TV-MA,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,80200549
112,,Movie,Tattah,05-09-2019,2013,TV-14,A down-on-his-luck man must prove he's not as hapless as he seems when the woman he's on a date with is suddenly kidnapped.,81035856
,3,TV Show,Larva,02-01-2016,2015,TV-G,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,80008583
,2,TV Show,Aggretsuko,6/14/2019,2019,TV-14,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.",80198505
,3,TV Show,Colony,05-02-2019,2018,TV-14,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son.",80077417
,1,TV Show,Charité at War,6/15/2019,2019,TV-MA,"In 1943, the staff at Berlin's Charité hospital struggle against the effects of World War II and the Nazi regime, including eugenic medical practices.",81081067
144,,Movie,Ready,10/22/2017,2011,TV-PG,"Bollywood superstar Salman Khan plays Prem, an heir to a perfume fortune who falls in love with the wrong woman in this romantic comedy.",70198040
95,,Movie,Savage Dog,11-01-2017,2017,TV-MA,A former professional boxer serving time in a brutal labor camp must fight incredible odds to gain his freedom and avenge an act of violence.,80156684
